code_v2010,code_v2021,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT111,AT111,AT111AT111,700.7,37565.3,37543.0,4735.0,4472.0
AT112,AT112,AT112AT112,1787.9,159150.7,150083.9,16110.0,15504.0
AT113,AT113,AT113AT113,1466.6,97236.8,97544.9,11990.0,11305.0
AT121,AT121,AT121AT121,3348.5,247296.3,240953.1,25631.0,23694.0
AT122,AT122,AT122AT122,3366.1,260497.9,252571.1,25329.0,24084.0
AT123,AT123,AT123AT123,1225.7,155583.1,148516.0,14336.0,13682.0
AT124,AT124,AT124AT124,4609.5,218072.8,219368.1,27839.0,26564.0
AT125,AT125,AT125AT125,2407.7,125170.3,123357.6,16986.0,15949.0
AT126,AT126,AT126AT126,2716.3,330520.9,308548.7,31301.0,30288.0
AT127,AT112,AT127AT112,1.0,5.2,0.0,51.0,51.0
AT127,AT127,AT127AT127,1469.1,343625.6,322792.9,26034.0,25299.0
AT130,AT130,AT130AT130,411.0,1889170.3,1708534.5,26367.0,26221.0
AT211,AT211,AT211AT211,2025.5,287015.3,276592.2,23205.0,21811.0
AT212,AT212,AT212AT212,4126.2,124360.1,127088.9,13975.0,13119.0
AT213,AT213,AT213AT213,3370.9,149550.9,152295.8,17474.0,15445.0
AT221,AT221,AT221AT221,1194.6,442216.9,404024.7,23129.0,22344.0
AT221,AT224,AT221AT224,31.7,677.3,684.4,87.0,76.0
AT222,AT222,AT222AT222,3265.1,79389.7,79253.8,10363.0,9551.0
AT223,AT222,AT223AT222,46.9,673.0,795.0,182.0,181.0
AT223,AT223,AT223AT223,3201.1,159262.9,163873.8,14804.0,14105.0
AT224,AT221,AT224AT221,15.2,860.5,894.3,91.0,84.0
AT224,AT224,AT224AT224,3274.3,265000.8,262098.2,27718.0,25150.0
AT224,AT225,AT224AT225,68.5,3674.1,3967.8,560.0,523.0
AT225,AT225,AT225AT225,2222.4,192767.7,189870.6,19801.0,18636.0
AT226,AT226,AT226AT226,3055.4,99980.9,102798.7,11135.0,10228.0
AT311,AT311,AT311AT311,2818.3,288616.4,276041.3,30322.0,28410.0
AT312,AT312,AT312AT312,1738.6,590562.2,551468.3,34459.0,33273.0
AT313,AT313,AT313AT313,2655.5,209831.8,204027.7,21104.0,20100.0
AT314,AT314,AT314AT314,2233.5,154817.1,152373.3,14154.0,13464.0
AT315,AT315,AT315AT315,2510.7,238028.0,229370.6,20973.0,19746.0
AT321,AT321,AT321AT321,1017.8,20334.5,20470.4,3211.0,2872.0
AT322,AT322,AT322AT322,4392.2,168251.0,162602.3,19195.0,17649.0
AT323,AT323,AT323AT323,1736.2,363590.5,345822.9,18780.0,18121.0
AT331,AT331,AT331AT331,1235.1,32760.9,31604.1,4340.0,4239.0
AT332,AT332,AT332AT332,2093.7,311615.6,286480.4,12160.0,11791.0
AT333,AT333,AT333AT333,2017.5,48832.5,49303.9,4925.0,4720.0
AT334,AT334,AT334AT334,3317.6,104502.4,100110.0,11895.0,11474.0
AT335,AT335,AT335AT335,3972.0,257483.2,241902.2,21344.0,20377.0
AT341,AT341,AT341AT341,1872.4,91474.0,86931.4,8422.0,7597.0
AT342,AT342,AT342AT342,744.0,302637.4,282751.0,13523.0,12877.0
BE100,BE100,BE100BE100,162.0,1192480.8,1130133.0,14085.0,14019.0
BE211,BE211,BE211BE211,998.3,1045638.4,1003372.1,51037.0,50393.0
BE212,BE212,BE212BE212,511.4,344290.7,328979.1,20133.0,19593.0
BE213,BE213,BE213BE213,1359.4,458947.9,439834.7,38417.0,37352.0
BE221,BE224,BE221BE224,883.1,416949.2,402437.1,32036.0,31342.0
BE221,BE225,BE221BE225,25.2,10354.6,10157.3,928.0,890.0
BE222,BE225,BE222BE225,885.4,241441.5,234599.5,22300.0,21755.0
BE223,BE223,BE223BE223,633.1,204740.7,200098.0,15497.0,14787.0
BE231,BE231,BE231BE231,472.2,289194.5,276566.0,15987.0,15532.0
BE232,BE232,BE232BE232,346.6,200601.7,194511.6,11876.0,11464.0
BE233,BE233,BE233BE233,335.6,84565.5,82563.6,6909.0,6587.0
BE234,BE234,BE234BE234,948.9,556729.0,533994.5,36143.0,34982.0
BE235,BE235,BE235BE235,422.5,123744.9,120389.6,9126.0,8688.0
BE236,BE236,BE236BE236,478.0,250575.8,239039.1,17411.0,16464.0
BE241,BE241,BE241BE241,948.4,636411.3,602533.4,36543.0,35698.0
BE242,BE242,BE242BE242,1168.5,505279.1,487508.7,34720.0,33767.0
BE251,BE251,BE251BE251,665.1,281982.5,277759.4,20400.0,19508.0
BE252,BE252,BE252BE252,364.8,51742.4,50318.0,5353.0,4908.0
BE253,BE253,BE253BE253,553.6,107525.9,106739.4,9724.0,8692.0
BE254,BE254,BE254BE254,405.9,289382.4,282210.1,17490.0,16959.0
BE255,BE255,BE255BE255,293.0,156211.4,152165.5,8714.0,8385.0
BE256,BE256,BE256BE256,273.7,151809.5,146381.3,10647.0,10142.0
BE257,BE257,BE257BE257,331.5,93005.5,91046.3,8520.0,7941.0
BE258,BE258,BE258BE258,278.8,61744.2,60829.2,5776.0,5367.0
BE310,BE310,BE310BE310,1096.5,401266.8,382917.2,29697.0,28799.0
BE321,BE32A,BE321BE32A,490.9,87229.3,84809.3,7772.0,7292.0
BE322,BE32B,BE322BE32B,475.6,396611.1,394028.6,19885.0,19580.0
BE322,BE32C,BE322BE32C,83.3,34581.5,33413.2,2446.0,2377.0
BE323,BE323,BE323BE323,588.7,258214.1,252553.9,16215.0,15719.0
BE324,BE328,BE324BE328,102.3,79527.1,76239.1,3906.0,3733.0
BE325,BE329,BE325BE329,64.2,80270.3,77877.8,3450.0,3377.0
BE325,BE32A,BE325BE32A,180.4,40282.7,39145.4,3482.0,3263.0
BE325,BE32C,BE325BE32C,274.5,69907.8,67304.7,4805.0,4577.0
BE326,BE329,BE326BE329,154.9,61022.9,60235.7,3122.0,3061.0
BE326,BE32D,BE326BE32D,785.3,91724.6,89968.0,8357.0,7935.0
BE327,BE328,BE327BE328,612.5,148488.6,145797.6,12003.0,11479.0
BE331,BE331,BE331BE331,661.0,113031.5,109013.9,10247.0,9825.0
BE332,BE332,BE332BE332,795.8,626262.5,611808.6,29933.0,29200.0
BE334,BE334,BE334BE334,389.9,80859.4,76459.6,6912.0,6503.0
BE335,BE335,BE335BE335,1163.6,210360.6,206866.7,14957.0,14207.0
BE336,BE336,BE336BE336,846.6,78272.5,76655.6,7734.0,7373.0
BE341,BE341,BE341BE341,318.7,62416.9,58744.5,4846.0,4700.0
BE342,BE342,BE342BE342,1046.9,48852.3,45962.9,7035.0,6485.0
BE343,BE343,BE343BE343,958.0,56737.2,55320.5,6987.0,6478.0
BE344,BE344,BE344BE344,1358.6,63132.3,60226.7,8535.0,8032.0
BE345,BE345,BE345BE345,777.8,53796.7,52480.4,5446.0,5228.0
BE351,BE351,BE351BE351,1596.8,111836.9,107472.9,12823.0,12149.0
BE352,BE352,BE352BE352,1167.9,316283.8,304461.9,24284.0,23501.0
BE353,BE353,BE353BE353,910.9,67073.8,65920.8,7396.0,6829.0
BG311,BG311,BG311BG311,3029.8,84953.3,101012.0,10346.0,10294.0
BG312,BG312,BG312BG312,3624.6,129725.3,148096.0,14054.0,13717.0
BG313,BG313,BG313BG313,3615.8,162590.3,186719.8,20549.0,19921.0
BG314,BG314,BG314BG314,4635.1,240385.0,269740.2,26974.0,26567.0
BG315,BG315,BG315BG315,4133.4,124857.2,141547.6,13765.0,13195.0
